src,src_WxH,rotated,crop,class,out,W,H,sha256
broadway_tower_1428x968.jpg,1428x968,False,1428x802+0+83,ctrl,data/ctrl/broadway_tower_ctrl_960x540.png,960,540,74765bddd8abc96a08b60ba90d0608b329096544857987e01050cee6c40dff86
desert_mesa_4611x8192.jpg,4611x8192,True,8192x4608+0+1,ctrl,data/ctrl/desert_mesa_ctrl_960x540.png,960,540,cfae6548bcb2d5ed92539194e5ae26d3f7d03764b89e7407398489fd98c0ebf3
desert_mesa_4611x8192.jpg,4611x8192,True,8192x4608+0+1,1080p,data/1080p/desert_mesa_1080p_1920x1080.png,1920,1080,a3b40f2c90216c54ebc7ce27df6d3f93b5fa29090423e31bca936af21b9f1d85
desert_mesa_4611x8192.jpg,4611x8192,True,8192x4608+0+1,4k,data/4k/desert_mesa_4k_3840x2160.png,3840,2160,f68940759eeb3ce4dbcf910379c93b15ac4389e1711676778def023f45bcdea3
desert_mesa_4611x8192.jpg,4611x8192,True,8192x4608+0+1,8k,data/8k/desert_mesa_8k_7680x4320.png,7680,4320,85ad578b0b4504d9f191d21d1797edfcf4abd5c136e49b8703cb30d7ff850e33
forest_pano_13583x5417.jpg,13583x5417,False,9630x5416+1976+0,ctrl,data/ctrl/forest_pano_ctrl_960x540.png,960,540,c1dc4376b062f9cb66b13a5ee5bb0f402cc27fec5a7224289e020cf45622030e
forest_pano_13583x5417.jpg,13583x5417,False,9630x5416+1976+0,1080p,data/1080p/forest_pano_1080p_1920x1080.png,1920,1080,f2200131f7adf7f36a1470d06e82f210c5a81ca057aeb1d2b995b813c03697f4
forest_pano_13583x5417.jpg,13583x5417,False,9630x5416+1976+0,4k,data/4k/forest_pano_4k_3840x2160.png,3840,2160,4aedf2df056523f9cce6a33d56915aa0e986c2563f5c50f72ee941b8277d9912
forest_pano_13583x5417.jpg,13583x5417,False,9630x5416+1976+0,8k,data/8k/forest_pano_8k_7680x4320.png,7680,4320,fd387f5e1cde18061030dd8e3306946fe67f9817635f0806c6016e7c78cfa701
golden_gate_2880x1620.jpg,2880x1620,False,2880x1620+0+0,ctrl,data/ctrl/golden_gate_ctrl_960x540.png,960,540,d6b0be013248c3fecb64e8a28774fd01d9409091cdb5d137f621a9982a602626
golden_gate_2880x1620.jpg,2880x1620,False,2880x1620+0+0,1080p,data/1080p/golden_gate_1080p_1920x1080.png,1920,1080,0643c9d0f2d408bc2ff6c3862e378a091f4bf1ca77195f6ae8929ae88f266db2
iceland_waterfall_2880x1620.jpg,2880x1620,False,2880x1620+0+0,ctrl,data/ctrl/iceland_waterfall_ctrl_960x540.png,960,540,815dba6b08fec34fa5c84331a763036007367447bf3703f0cc1c8db89612d76b
iceland_waterfall_2880x1620.jpg,2880x1620,False,2880x1620+0+0,1080p,data/1080p/iceland_waterfall_1080p_1920x1080.png,1920,1080,5eae7cce6b70328d071f70e4fcc8e9597135c90e618f0f98130fcafad77c3e61
